,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
238,@MasonTCopeland I was honestly about to reply to it and say I did. Lolol,FALSE,1,MasonTCopeland,4/25/2019 15:10,FALSE,1.12E+18,1.12E+18,840711582,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TitleIX_lmao,0,FALSE,FALSE,NA,NA
239,@TitleIX_lmao Did you finish it with the next bite?,FALSE,0,TitleIX_lmao,4/25/2019 15:08,FALSE,1.12E+18,1.12E+18,354787615,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MasonTCopeland,0,FALSE,FALSE,NA,NA
240,RT @GGENYC: #TitleIX Coordinators are a non-negotiable if we're going to have safe schools in NYC. Join us on 4/30 as we ask @NYCSchools an…,FALSE,0,NA,4/25/2019 15:01,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",queer_spice,3,TRUE,FALSE,NA,NA
241,RT @GGENYC: #TitleIX Coordinators are a non-negotiable if we're going to have safe schools in NYC. Join us on 4/30 as we ask @NYCSchools an…,FALSE,0,NA,4/25/2019 15:01,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wagatwe,3,TRUE,FALSE,NA,NA
242,RT @GGENYC: #TitleIX Coordinators are a non-negotiable if we're going to have safe schools in NYC. Join us on 4/30 as we ask @NYCSchools an…,FALSE,0,NA,4/25/2019 15:00,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",urbintelligence,3,TRUE,FALSE,NA,NA
243,"RT @GGENYC: #TitleIX Coordinators not only respond to acts of sexual violence in schools, but they can help prevent them. Join us in asking…",FALSE,0,NA,4/25/2019 15:00,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",urbintelligence,1,TRUE,FALSE,NA,NA
244,RT @GGENYC: 1 in 3 students. On 4/30 join us in asking @NYCSchools and @NYCCouncil to hire 7 additional full-time #TitleIX Coordinators to…,FALSE,0,NA,4/25/2019 15:00,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",urbintelligence,3,TRUE,FALSE,NA,NA
245,"RT @GGENYC: With 9 days until our #SchoolGirlsDeserve press conference, we're sharing one reason we need more Title IX Coordinators in NYC…",FALSE,0,NA,4/25/2019 15:00,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",urbintelligence,6,TRUE,FALSE,NA,NA
246,RT @tfnlgroup: The 10th Circuit has denied KSU's petitions to rehear its motion to dismiss our lawsuit that claims KSU officials failed to…,FALSE,0,NA,4/25/2019 14:57,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sdccampussafety,1,TRUE,FALSE,NA,NA
247,"RT @SUNYSCI: While non-precedential, 4th Cir's per curiam opinion joins 2d Cir. (https://t.co/U7cdvedaHc) and NY Ct App (https://t.co/wjaPf…",FALSE,0,NA,4/25/2019 14:57,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ecfbrady,1,TRUE,FALSE,NA,NA
